date,year,latitude,longitude,T_mean,T_max,T_min,RH2M,WS2M,Rs,precipitation,ETo_hargreaves
2023-08-12,2023,15.0,74.5,24.91,28.62,22.77,88.77,0.54,18.69,2.1,1.8117772621698496
2023-08-13,2023,15.0,74.5,24.77,28.71,22.47,88.51,0.51,16.05,0.74,1.601618146876133
2023-08-14,2023,15.0,74.5,24.31,27.98,22.21,89.43,0.5,16.41,0.62,1.5576494574433408
2023-08-15,2023,15.0,74.5,24.73,28.68,22.45,89.03,0.48,18.44,2.6,1.836911875594649
2023-08-16,2023,15.0,74.5,24.96,29.02,22.17,88.41,0.52,19.21,5.84,2.0174294034375224
2023-08-17,2023,15.0,74.5,24.84,28.75,22.21,89.18,0.53,16.54,7.12,1.6925034962996806
2023-08-18,2023,15.0,74.5,24.79,28.1,22.41,89.82,0.55,14.19,7.56,1.3528017856281196
2023-08-19,2023,15.0,74.5,25.19,28.1,23.5,90.66,0.62,10.51,13.76,0.909362573604519
2023-08-20,2023,15.0,74.5,25.39,28.9,23.38,89.07,0.57,18.8,6.93,1.7901877924410137
2023-08-21,2023,15.0,74.5,25.28,29.34,22.59,88.03,0.49,20.07,2.24,2.1079628494297555
2023-08-22,2023,15.0,74.5,25.24,29.64,21.95,87.01,0.44,21.46,1.15,2.4035499352452843
2023-08-23,2023,15.0,74.5,25.05,28.9,22.54,88.05,0.44,18.53,0.99,1.8790693231519833
2023-08-24,2023,15.0,74.5,25.25,29.02,22.86,88.41,0.43,15.76,7.62,1.5801842330716878
2023-08-25,2023,15.0,74.5,25.41,29.11,23.21,88.59,0.43,14.45,17.84,1.423200600538755
2023-08-26,2023,15.0,74.5,25.13,28.48,23.16,89.36,0.43,16.92,8.55,1.5721901188936553
2023-08-27,2023,15.0,74.5,25.47,29.37,22.87,86.8,0.48,20.76,0.33,2.1491113698677933
2023-08-28,2023,15.0,74.5,25.26,29.25,22.76,88.02,0.47,18.39,3.83,1.8930675113730941
2023-08-29,2023,15.0,74.5,25.49,29.42,22.8,88.2,0.49,17.77,3.66,1.8573425470676352
2023-08-30,2023,15.0,74.5,25.64,30.06,22.54,86.68,0.43,20.82,1.45,2.3273808746144558
2023-08-31,2023,15.0,74.5,25.77,30.29,22.77,86.58,0.42,21.09,6.7,2.3646183695350818
2023-09-01,2023,15.0,74.5,25.65,29.51,23.52,88.76,0.44,21.83,8.42,2.1784366090483127
2023-09-02,2023,15.0,74.5,25.26,29.19,23.19,88.54,0.43,17.48,4.49,1.7301313598091397
2023-09-03,2023,15.0,74.5,24.07,26.26,22.84,91.87,0.33,17.3,5.28,1.2570429484502292
2023-09-04,2023,15.0,74.5,24.23,26.66,22.92,90.76,0.39,8.61,9.34,0.6567292227035436
2023-09-05,2023,15.0,74.5,25.06,27.9,23.31,91.38,0.49,14.03,9.45,1.2089384198698192
2023-09-06,2023,15.0,74.5,25.46,29.26,23.21,87.78,0.47,22.16,1.95,2.2126970538043347
2023-09-07,2023,15.0,74.5,25.18,28.59,23.35,89.21,0.47,19.19,3.52,1.771719758376429
2023-09-08,2023,15.0,74.5,25.35,28.23,23.68,89.76,0.53,10.73,6.18,0.9267748066304912
2023-09-09,2023,15.0,74.5,25.74,29.05,23.71,89.82,0.58,14.03,15.56,1.324660918050096
2023-09-10,2023,15.0,74.5,25.58,28.97,23.55,90.41,0.52,18.79,5.71,1.78075417060783
2023-09-11,2023,15.0,74.5,25.59,28.82,23.77,89.48,0.55,15.19,5.93,1.389892182290361
