latitude,longitude,period_8day,T_mean,T_max,T_min,RH2M,WS2M,Rs,rainfall_8day_mm,ETo_8day_mm,period_start_date
15.0,74.5,40,24.925,29.53,19.08,83.50375,0.4275,16.2825,1.6600000000000001,14.828604012899032,2023-11-17
15.0,74.5,41,25.0475,29.4,20.62,86.66875,0.3975,15.723749999999999,4.57,13.174961231109666,2023-11-25
15.0,74.5,42,24.61625,29.71,19.43,84.31,0.435,15.1225,0.41000000000000003,13.5125907533398,2023-12-03
15.0,74.5,43,23.7075,29.13,17.89,79.77,0.45,15.815,0.06,14.050222097894368,2023-12-11
15.0,74.5,44,23.0875,30.85,17.45,71.72375,0.4775,16.71125,0.0,16.080337644956508,2023-12-19
15.0,74.5,45,23.48625,30.54,17.46,70.34,0.51875,18.025,4.8,18.591491371057753,2023-12-27
15.0,74.5,46,23.64125,31.09,18.43,79.55250000000001,0.45,13.9925,23.38,12.76170969113042,2024-01-04
15.0,74.5,47,23.265,31.06,16.71,72.815,0.475,18.22625,0.0,19.172177001073013,2024-01-12
15.0,74.5,48,23.25375,31.85,14.72,70.5175,0.4875,19.8075,0.0,21.79920198542527,2024-01-20
15.0,74.5,49,23.8475,33.3,16.18,67.14125,0.49125,20.52375,0.0,23.496538477727135,2024-01-28
15.0,74.5,50,26.396250000000002,36.03,19.29,57.9725,0.44375,21.13625,0.0,27.24257897460822,2024-02-05
15.0,74.5,51,26.432499999999997,36.23,18.34,55.144999999999996,0.48125,22.71875,0.0,29.659170383010494,2024-02-13
15.0,74.5,52,26.0725,37.12,17.14,59.185,0.46375,23.36875,0.0,29.65633505914586,2024-02-21
15.0,74.5,53,27.105,36.77,18.73,57.16875,0.45125,23.4675,0.01,29.406941752560392,2024-02-29
15.0,74.5,54,27.419999999999998,37.06,18.98,57.91875,0.4525,22.81625,0.0,29.107658674599243,2024-03-08
15.0,74.5,55,28.22,38.72,20.54,55.08375,0.4325,22.72375,0.9700000000000001,29.67927211341022,2024-03-16
15.0,74.5,56,29.583750000000002,38.06,22.86,58.56375,0.365,22.21375,0.27,28.23882757633454,2024-03-24
15.0,74.5,57,30.11875,39.4,24.01,54.80375,0.3875,23.72875,0.02,31.40020551512223,2024-04-01
15.0,74.5,58,30.355,38.6,23.91,56.14125,0.35125,23.45875,3.51,30.34634547359071,2024-04-09
15.0,74.5,59,29.53875,37.87,24.63,68.9625,0.31375000000000003,18.31125,25.38,20.958501099454036,2024-04-17
15.0,74.5,60,30.45125,38.96,24.43,63.26625,0.34,24.52,0.71,31.38490704484478,2024-04-25
15.0,74.5,61,29.88375,38.33,22.74,62.2325,0.4025,25.8875,2.37,33.7205752088924,2024-05-03
15.0,74.5,62,29.525,37.12,24.98,72.355,0.31625,20.95,49.78,23.580770738645896,2024-05-11
15.0,74.5,63,28.50875,36.5,25.04,79.7,0.4175,15.80625,36.16,15.662738883610471,2024-05-19
15.0,74.5,64,28.7625,34.59,25.15,77.385,0.51,19.92625,14.11,18.976127723075784,2024-05-27
15.0,74.5,65,26.39,33.36,23.34,85.9675,0.56375,12.405000000000001,354.23,9.904044895109767,2024-06-04
15.0,74.5,66,26.0175,30.36,22.92,86.6275,0.495,16.3075,112.50999999999999,12.910437295709334,2024-06-12
15.0,74.5,67,25.54625,29.85,22.4,87.21125,0.71,13.64,199.98000000000002,9.500623535506897,2024-06-20
15.0,74.5,68,25.8725,28.85,23.12,91.2275,0.68125,12.03875,231.17000000000002,7.831581025199987,2024-06-28
15.0,74.5,69,24.9825,27.63,22.68,93.6675,0.65875,11.1775,399.58,6.741607328946798,2024-07-06
15.0,74.5,70,25.08875,26.92,23.43,96.14375,0.8175,8.3325,665.83,3.7205497623066464,2024-07-14
15.0,74.5,71,25.095,27.12,23.64,94.07875,0.8125,9.2175,253.82,4.585036971367832,2024-07-22
15.0,74.5,72,24.8325,27.06,23.46,94.69625,0.6075,10.6825,311.23,5.555955848038833,2024-07-30
15.0,74.5,73,25.39375,30.15,23.14,91.7875,0.49,15.31625,106.07,11.381408669552927,2024-08-07
15.0,74.5,74,26.10375,30.5,23.51,92.28125,0.51125,14.272499999999999,79.65,10.343597306426576,2024-08-15
15.0,74.5,75,25.12,28.38,23.97,93.615,0.64,12.3925,215.1,6.8323499643205405,2024-08-23
15.0,74.5,76,25.10625,28.12,23.42,92.06875,0.62375,12.56,98.93,8.068671434336327,2024-08-31
15.0,74.5,77,25.0025,28.58,22.53,91.49625,0.53125,16.78625,98.73,11.468246569530963,2024-09-08
15.0,74.5,78,24.927500000000002,29.38,21.57,89.55,0.46125,17.7075,76.77,13.62303402375762,2024-09-16
15.0,74.5,79,25.37625,31.09,22.94,90.97375,0.435,14.76125,120.00999999999999,11.391647196397841,2024-09-24
15.0,74.5,80,25.84625,29.76,22.97,89.9725,0.32375,16.74875,139.97,12.77560076103998,2024-10-02
15.0,74.5,81,25.6125,29.7,22.8,91.41875,0.375,13.39625,77.23,10.076275767118156,2024-10-10
15.0,74.5,82,25.40125,30.21,22.45,90.54625,0.35375,15.23375,78.56,11.36939687894332,2024-10-18
15.0,74.5,83,25.37125,29.79,21.71,88.76,0.3575,16.64125,32.02,13.717836202627275,2024-10-26
15.0,74.5,84,24.745,29.71,18.88,84.60625,0.4275,18.46375,2.21,16.685681014021167,2024-11-03
15.0,74.5,85,24.56,29.4,18.8,84.9975,0.42874999999999996,16.2625,7.83,13.908023948861084,2024-11-11
15.0,74.5,86,22.20375,28.01,17.01,82.64125,0.47875,17.24,0.0,15.772688263297432,2024-11-19
15.0,74.5,87,23.58875,28.93,15.44,85.85,0.42874999999999996,13.56375,22.61,11.504176445439583,2024-11-27
15.0,74.5,88,24.9925,29.59,20.14,87.74875,0.36,14.655000000000001,7.33,12.038295506778164,2024-12-05
15.0,74.5,89,22.76625,28.64,15.37,82.87625,0.45125,16.55875,0.0,14.786814615271988,2024-12-13
15.0,74.5,90,23.68375,28.98,19.4,86.10375,0.3775,15.00875,0.11,12.608996209606158,2024-12-21
15.0,74.5,91,23.116666666666664,28.42,17.86,76.70666666666666,0.5133333333333333,18.603333333333335,0.0,6.466838644402465,2024-12-29
15.0,74.75,45,23.959999999999997,31.77,16.91,59.73333333333333,1.0033333333333332,16.086666666666666,4.43,6.8104071545675335,2024-01-01
15.0,74.75,46,22.85625,31.93,16.41,70.91499999999999,1.27875,13.9925,23.64,14.503184285049638,2024-01-04
15.0,74.75,47,23.42625,32.39,15.36,62.23625,0.8512500000000001,18.22625,0.0,21.825790972620315,2024-01-12
15.0,74.75,48,23.69875,33.68,13.79,59.14125,0.9675,19.8075,0.0,24.771116838353354,2024-01-20
15.0,74.75,49,24.405,35.24,15.31,54.03875,1.00125,20.52375,0.0,26.210377623831835,2024-01-28
15.0,74.75,50,26.82375,36.71,18.55,40.11125,1.0825,21.13625,0.0,29.160656685595153,2024-02-05
15.0,74.75,51,26.665,36.58,16.83,38.89,1.1575,22.71875,0.0,31.70194427166086,2024-02-13
15.0,74.75,52,26.665,37.23,16.29,45.19,1.1475,23.36875,0.0,32.57036295031572,2024-02-21
15.0,74.75,53,27.85125,37.8,18.23,43.17,1.155,23.4675,0.0,32.96844119748514,2024-02-29
15.0,74.75,54,29.04125,38.82,18.8,41.4125,0.9925,22.81625,0.0,32.97173598163984,2024-03-08
15.0,74.75,55,29.59875,39.51,20.24,39.9875,1.0875,22.72375,0.5700000000000001,32.61446418583503,2024-03-16
15.0,74.75,56,31.1825,40.46,22.8,41.73125,0.825,22.21375,0.02,33.121377038920485,2024-03-24
15.0,74.75,57,31.5,41.5,22.15,42.21875,0.92,23.72875,0.0,36.76120496498243,2024-04-01
15.0,74.75,58,31.2975,40.5,22.77,46.40625,0.89375,23.45875,8.71,34.436503130953234,2024-04-09
15.0,74.75,59,29.735,38.28,23.41,62.59,0.86375,18.31125,42.41,22.78114054194197,2024-04-17
15.0,74.75,60,30.74375,40.8,22.58,56.68375,0.9475,24.52,0.32,35.49536250289427,2024-04-25
15.0,74.75,61,30.79,40.69,21.49,52.67875,1.2925,25.8875,3.48,38.70350776228543,2024-05-03
15.0,74.75,62,29.205,39.24,23.64,66.32875,0.94625,20.95,39.92,24.789132751088655,2024-05-11
15.0,74.75,63,28.165,37.0,23.7,75.09375,1.25625,15.80625,39.53,17.260957033271048,2024-05-19
15.0,74.75,64,28.08125,35.98,23.45,73.76875,1.6025,19.92625,10.51,20.95089451303056,2024-05-27
15.0,74.75,65,25.52625,33.1,21.55,82.75,1.85125,12.405000000000001,151.06,11.183948885488904,2024-06-04
15.0,74.75,66,24.98625,30.47,21.36,83.02,1.855,16.3075,75.2,14.41075817284732,2024-06-12
15.0,74.75,67,24.325,29.98,20.56,84.63499999999999,2.38375,13.64,83.82000000000001,10.575554289113184,2024-06-20
15.0,74.75,68,24.725,28.87,21.17,87.39625,2.40875,12.03875,124.16,9.190281316659727,2024-06-28
15.0,74.75,69,24.0025,28.24,21.02,89.52499999999999,2.2425,11.1775,155.14,8.14111782368879,2024-07-06
15.0,74.75,70,24.20875,27.59,21.79,93.09625,2.87875,8.3325,230.31,4.830731235396335,2024-07-14
15.0,74.75,71,23.97875,27.48,21.98,91.78125,2.9825,9.2175,126.08,5.588875065539478,2024-07-22
15.0,74.75,72,23.7625,26.95,21.81,93.05,2.09625,10.6825,134.88,6.705030315383272,2024-07-30
15.0,74.75,73,24.646250000000002,30.18,21.64,89.9825,1.2137499999999999,15.31625,49.55,12.494997317053192,2024-08-07
15.0,74.75,74,25.53125,30.1,22.16,89.7425,1.04875,14.272499999999999,62.82,11.653057099634381,2024-08-15
15.0,74.75,75,24.03875,28.16,22.29,92.355,1.955,12.3925,101.02,7.959922401502375,2024-08-23
15.0,74.75,76,24.06375,28.51,21.81,90.96125,1.72,12.56,51.47,9.262141152951305,2024-08-31
15.0,74.75,77,23.916249999999998,28.27,20.49,90.27625,1.5150000000000001,16.78625,43.77,12.876897101360314,2024-09-08
15.0,74.75,78,23.90625,29.21,19.38,88.4975,1.07,17.7075,68.31,14.912125191122072,2024-09-16
15.0,74.75,79,24.44,31.03,21.25,89.45625,1.07,14.76125,81.65,12.274852844368596,2024-09-24
15.0,74.75,80,24.695,29.78,20.76,89.0725,0.88,16.74875,74.7,13.626972914808817,2024-10-02
15.0,74.75,81,24.50625,29.2,20.97,90.94,0.93625,13.39625,93.39,10.634609203356973,2024-10-10
15.0,74.75,82,24.28375,29.14,20.11,88.535,0.75,15.23375,59.54,12.456424736529721,2024-10-18
15.0,74.75,83,23.95375,29.09,18.96,86.7575,0.6525,16.64125,17.53,14.821818338764931,2024-10-26
15.0,74.75,84,23.10375,28.68,17.07,84.5,0.90875,18.46375,0.67,16.848463647165836,2024-11-03
15.0,74.75,85,22.925,28.63,16.15,84.45625,1.09,16.2625,3.02,14.397302059799898,2024-11-11
15.0,74.75,86,20.67875,27.01,14.64,81.37625,0.92375,17.24,0.0,16.306944554320328,2024-11-19
15.0,74.75,87,22.32125,28.53,12.99,84.68375,1.16375,13.56375,17.330000000000002,11.919762471495936,2024-11-27
15.0,74.75,88,23.97,28.96,19.3,85.755,0.72125,14.655000000000001,6.34,12.390614924316019,2024-12-05
15.0,74.75,89,21.61,28.67,13.18,80.6075,0.95125,16.55875,0.0,15.58775354895024,2024-12-13
15.0,74.75,90,23.05,29.05,18.01,82.77,0.90875,15.00875,0.37999999999999995,14.006758332251179,2024-12-21
15.0,74.75,91,22.036666666666665,28.64,16.57,72.13666666666666,1.27,18.603333333333335,0.0,6.95366265198826,2024-12-29
15.0,75.0,45,23.959999999999997,31.77,16.91,59.73333333333333,1.0033333333333332,16.203333333333333,4.43,6.856279808949784,2024-01-01
15.0,75.0,46,22.85625,31.93,16.41,70.91499999999999,1.27875,14.00875,23.64,14.571130205361495,2024-01-04
15.0,75.0,47,23.42625,32.39,15.36,62.23625,0.8512500000000001,18.05125,0.0,21.626072157959374,2024-01-12
15.0,75.0,48,23.69875,33.68,13.79,59.14125,0.9675,19.595,0.0,24.509709439746466,2024-01-20
15.0,75.0,49,24.405,35.24,15.31,54.03875,1.00125,20.54375,0.0,26.22462902980979,2024-01-28
15.0,75.0,50,26.82375,36.71,18.55,40.11125,1.0825,21.3825,0.0,29.497649005850434,2024-02-05
15.0,75.0,51,26.665,36.58,16.83,38.89,1.1575,22.7925,0.0,31.803968400374824,2024-02-13
15.0,75.0,52,26.665,37.23,16.29,45.19,1.1475,23.425,0.0,32.648589271795174,2024-02-21
15.0,75.0,53,27.85125,37.8,18.23,43.17,1.155,23.465,0.0,32.96896318868801,2024-02-29
15.0,75.0,54,29.04125,38.82,18.8,41.4125,0.9925,22.1425,0.0,32.015809430589364,2024-03-08
15.0,75.0,55,29.59875,39.51,20.24,39.9875,1.0875,22.6575,0.5700000000000001,32.52048727760994,2024-03-16
15.0,75.0,56,31.1825,40.46,22.8,41.73125,0.825,22.77875,0.02,33.971902739513844,2024-03-24
15.0,75.0,57,31.5,41.5,22.15,42.21875,0.92,23.54375,0.0,36.470774651589466,2024-04-01
15.0,75.0,58,31.2975,40.5,22.77,46.40625,0.89375,22.82,8.71,33.584334701996696,2024-04-09
15.0,75.0,59,29.735,38.28,23.41,62.59,0.86375,18.63875,42.41,23.139561930729734,2024-04-17
15.0,75.0,60,30.74375,40.8,22.58,56.68375,0.9475,25.01875,0.32,36.19165749609347,2024-04-25
15.0,75.0,61,30.79,40.69,21.49,52.67875,1.2925,25.81875,3.48,38.648554235037665,2024-05-03
15.0,75.0,62,29.205,39.24,23.64,66.32875,0.94625,20.10125,39.92,23.806436086754964,2024-05-11
15.0,75.0,63,28.165,37.0,23.7,75.09375,1.25625,17.25375,39.53,18.861776171721846,2024-05-19
15.0,75.0,64,28.08125,35.98,23.45,73.76875,1.6025,20.9025,10.51,21.975014478942064,2024-05-27
15.0,75.0,65,25.52625,33.1,21.55,82.75,1.85125,14.4975,151.06,12.978857059141564,2024-06-04
15.0,75.0,66,24.98625,30.47,21.36,83.02,1.855,18.427500000000002,75.2,16.289618590774328,2024-06-12
15.0,75.0,67,24.325,29.98,20.56,84.63499999999999,2.38375,16.565,83.82000000000001,12.80584689150619,2024-06-20
15.0,75.0,68,24.725,28.87,21.17,87.39625,2.40875,15.6075,124.16,11.90565070945179,2024-06-28
15.0,75.0,69,24.0025,28.24,21.02,89.52499999999999,2.2425,14.9875,155.14,10.867118812556702,2024-07-06
15.0,75.0,70,24.20875,27.59,21.79,93.09625,2.87875,12.58125,230.31,7.271526703401007,2024-07-14
15.0,75.0,71,23.97875,27.48,21.98,91.78125,2.9825,11.715,126.08,7.133333763201661,2024-07-22
15.0,75.0,72,23.7625,26.95,21.81,93.05,2.09625,14.1975,134.88,8.858415049101021,2024-07-30
15.0,75.0,73,24.646250000000002,30.18,21.64,89.9825,1.2137499999999999,17.45625,49.55,14.206098780230258,2024-08-07
15.0,75.0,74,25.53125,30.1,22.16,89.7425,1.04875,15.48875,62.82,12.62829463021971,2024-08-15
15.0,75.0,75,24.03875,28.16,22.29,92.355,1.955,15.105,101.02,9.61343922132004,2024-08-23
15.0,75.0,76,24.06375,28.51,21.81,90.96125,1.72,14.22125,51.47,10.603261925264812,2024-08-31
15.0,75.0,77,23.916249999999998,28.27,20.49,90.27625,1.5150000000000001,18.2075,43.77,13.95188302074823,2024-09-08
15.0,75.0,78,23.90625,29.21,19.38,88.4975,1.07,17.74125,68.31,14.917761938063514,2024-09-16
15.0,75.0,79,24.44,31.03,21.25,89.45625,1.07,15.89125,81.65,12.996448145242555,2024-09-24
15.0,75.0,80,24.695,29.78,20.76,89.0725,0.88,17.68625,74.7,14.392507031754814,2024-10-02
15.0,75.0,81,24.50625,29.2,20.97,90.94,0.93625,13.94,93.39,11.128597450234654,2024-10-10
15.0,75.0,82,24.28375,29.14,20.11,88.535,0.75,15.4025,59.54,12.680847070234968,2024-10-18
15.0,75.0,83,23.95375,29.09,18.96,86.7575,0.6525,16.9225,17.53,15.082183816247378,2024-10-26
15.0,75.0,84,23.10375,28.68,17.07,84.5,0.90875,17.9725,0.67,16.410863149921326,2024-11-03
15.0,75.0,85,22.925,28.63,16.15,84.45625,1.09,15.35625,3.02,13.577247578449168,2024-11-11
15.0,75.0,86,20.67875,27.01,14.64,81.37625,0.92375,17.0825,0.0,16.161191982758073,2024-11-19
15.0,75.0,87,22.32125,28.53,12.99,84.68375,1.16375,14.07625,17.330000000000002,12.277542774059517,2024-11-27
15.0,75.0,88,23.97,28.96,19.3,85.755,0.72125,14.0325,6.34,11.868834261876371,2024-12-05
15.0,75.0,89,21.61,28.67,13.18,80.6075,0.95125,16.40125,0.0,15.46204756954019,2024-12-13
15.0,75.0,90,23.05,29.05,18.01,82.77,0.90875,13.45,0.37999999999999995,12.572291868526516,2024-12-21
15.0,75.0,91,22.036666666666665,28.64,16.57,72.13666666666666,1.27,18.62,0.0,6.957779447713373,2024-12-29
15.0,75.25,45,23.959999999999997,31.77,16.91,59.73333333333333,1.0033333333333332,16.203333333333333,4.43,6.856279808949784,2024-01-01
15.0,75.25,46,22.85625,31.93,16.41,70.91499999999999,1.27875,14.00875,23.64,14.571130205361495,2024-01-04
15.0,75.25,47,23.42625,32.39,15.36,62.23625,0.8512500000000001,18.05125,0.0,21.626072157959374,2024-01-12
15.0,75.25,48,23.69875,33.68,13.79,59.14125,0.9675,19.595,0.0,24.509709439746466,2024-01-20
15.0,75.25,49,24.405,35.24,15.31,54.03875,1.00125,20.54375,0.0,26.22462902980979,2024-01-28
15.0,75.25,50,26.82375,36.71,18.55,40.11125,1.0825,21.3825,0.0,29.497649005850434,2024-02-05
15.0,75.25,51,26.665,36.58,16.83,38.89,1.1575,22.7925,0.0,31.803968400374824,2024-02-13
15.0,75.25,52,26.665,37.23,16.29,45.19,1.1475,23.425,0.0,32.648589271795174,2024-02-21
15.0,75.25,53,27.85125,37.8,18.23,43.17,1.155,23.465,0.0,32.96896318868801,2024-02-29
15.0,75.25,54,29.04125,38.82,18.8,41.4125,0.9925,22.1425,0.0,32.015809430589364,2024-03-08
15.0,75.25,55,29.59875,39.51,20.24,39.9875,1.0875,22.6575,0.5700000000000001,32.52048727760994,2024-03-16
15.0,75.25,56,31.1825,40.46,22.8,41.73125,0.825,22.77875,0.02,33.971902739513844,2024-03-24
15.0,75.25,57,31.5,41.5,22.15,42.21875,0.92,23.54375,0.0,36.470774651589466,2024-04-01
15.0,75.25,58,31.2975,40.5,22.77,46.40625,0.89375,22.82,8.71,33.584334701996696,2024-04-09
15.0,75.25,59,29.735,38.28,23.41,62.59,0.86375,18.63875,42.41,23.139561930729734,2024-04-17
15.0,75.25,60,30.74375,40.8,22.58,56.68375,0.9475,25.01875,0.32,36.19165749609347,2024-04-25
15.0,75.25,61,30.79,40.69,21.49,52.67875,1.2925,25.81875,3.48,38.648554235037665,2024-05-03
15.0,75.25,62,29.205,39.24,23.64,66.32875,0.94625,20.10125,39.92,23.806436086754964,2024-05-11
15.0,75.25,63,28.165,37.0,23.7,75.09375,1.25625,17.25375,39.53,18.861776171721846,2024-05-19
15.0,75.25,64,28.08125,35.98,23.45,73.76875,1.6025,20.9025,10.51,21.975014478942064,2024-05-27
15.0,75.25,65,25.52625,33.1,21.55,82.75,1.85125,14.4975,151.06,12.978857059141564,2024-06-04
15.0,75.25,66,24.98625,30.47,21.36,83.02,1.855,18.427500000000002,75.2,16.289618590774328,2024-06-12
15.0,75.25,67,24.325,29.98,20.56,84.63499999999999,2.38375,16.565,83.82000000000001,12.80584689150619,2024-06-20
15.0,75.25,68,24.725,28.87,21.17,87.39625,2.40875,15.6075,124.16,11.90565070945179,2024-06-28
15.0,75.25,69,24.0025,28.24,21.02,89.52499999999999,2.2425,14.9875,155.14,10.867118812556702,2024-07-06
15.0,75.25,70,24.20875,27.59,21.79,93.09625,2.87875,12.58125,230.31,7.271526703401007,2024-07-14
15.0,75.25,71,23.97875,27.48,21.98,91.78125,2.9825,11.715,126.08,7.133333763201661,2024-07-22
15.0,75.25,72,23.7625,26.95,21.81,93.05,2.09625,14.1975,134.88,8.858415049101021,2024-07-30
15.0,75.25,73,24.646250000000002,30.18,21.64,89.9825,1.2137499999999999,17.45625,49.55,14.206098780230258,2024-08-07
15.0,75.25,74,25.53125,30.1,22.16,89.7425,1.04875,15.48875,62.82,12.62829463021971,2024-08-15
15.0,75.25,75,24.03875,28.16,22.29,92.355,1.955,15.105,101.02,9.61343922132004,2024-08-23
15.0,75.25,76,24.06375,28.51,21.81,90.96125,1.72,14.22125,51.47,10.603261925264812,2024-08-31
15.0,75.25,77,23.916249999999998,28.27,20.49,90.27625,1.5150000000000001,18.2075,43.77,13.95188302074823,2024-09-08
15.0,75.25,78,23.90625,29.21,19.38,88.4975,1.07,17.74125,68.31,14.917761938063514,2024-09-16
15.0,75.25,79,24.44,31.03,21.25,89.45625,1.07,15.89125,81.65,12.996448145242555,2024-09-24
15.0,75.25,80,24.695,29.78,20.76,89.0725,0.88,17.68625,74.7,14.392507031754814,2024-10-02
15.0,75.25,81,24.50625,29.2,20.97,90.94,0.93625,13.94,93.39,11.128597450234654,2024-10-10
15.0,75.25,82,24.28375,29.14,20.11,88.535,0.75,15.4025,59.54,12.680847070234968,2024-10-18
15.0,75.25,83,23.95375,29.09,18.96,86.7575,0.6525,16.9225,17.53,15.082183816247378,2024-10-26
15.0,75.25,84,23.10375,28.68,17.07,84.5,0.90875,17.9725,0.67,16.410863149921326,2024-11-03
15.0,75.25,85,22.925,28.63,16.15,84.45625,1.09,15.35625,3.02,13.577247578449168,2024-11-11
15.0,75.25,86,20.67875,27.01,14.64,81.37625,0.92375,17.0825,0.0,16.161191982758073,2024-11-19
15.0,75.25,87,22.32125,28.53,12.99,84.68375,1.16375,14.07625,17.330000000000002,12.277542774059517,2024-11-27
15.0,75.25,88,23.97,28.96,19.3,85.755,0.72125,14.0325,6.34,11.868834261876371,2024-12-05
15.0,75.25,89,21.61,28.67,13.18,80.6075,0.95125,16.40125,0.0,15.46204756954019,2024-12-13
15.0,75.25,90,23.05,29.05,18.01,82.77,0.90875,13.45,0.37999999999999995,12.572291868526516,2024-12-21
15.0,75.25,91,22.036666666666665,28.64,16.57,72.13666666666666,1.27,18.62,0.0,6.957779447713373,2024-12-29
15.0,75.5,0,22.65875,31.58,15.4,62.64,2.5225,16.85125,0.0,19.177089893484364,2023-01-01
15.0,75.5,1,22.03625,33.66,11.62,44.16875,1.83125,20.35875,0.0,26.648037173893055,2023-01-09
15.0,75.5,2,22.94875,33.44,12.31,49.54,2.30875,19.9675,0.01,25.86209136094039,2023-01-17
15.0,75.5,3,24.405,33.78,14.58,48.80625,2.7225,19.00125,0.0,23.98943592991367,2023-01-25
15.0,75.5,4,26.35375,35.92,17.23,43.795,2.0862499999999997,19.92875,0.0,26.266895134887495,2023-02-02
15.0,75.5,5,25.5675,36.87,15.03,27.435,2.525,23.82375,0.0,34.225677062215276,2023-02-10
15.0,75.5,6,26.48,36.99,16.18,28.872500000000002,2.32625,23.7,0.0,34.26578676135966,2023-02-18
